envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
506	5994000	6402000	5682000	6162000	6522000	5202000	
507	5991000	6399000	5679000	6159000	6519000	5199000	
508	6012000	6396000	5796000	6156000	6516000	5196000	
509	6009000	6393000	5793000	6153000	6513000	5193000	
510	6054000	6390000	5910000	6150000	6510000	5310000	
511	6099000	6507000	6027000	6147000	6507000	5307000	
512	6096000	6504000	6024000	6144000	6504000	5304000	
513	6117000	6501000	6141000	6141000	6501000	5301000	
514	6114000	6498000	6138000	6138000	6498000	5298000	
515	6111000	6495000	6135000	6135000	6495000	5295000	
516	6108000	6492000	6132000	6132000	6492000	5292000	
517	6105000	6489000	6129000	6129000	6489000	5289000	
518	6102000	6486000	6126000	6126000	6486000	5286000	
519	6147000	6483000	6123000	6123000	6603000	5403000	
520	6144000	6480000	6120000	6120000	6600000	5400000	
521	6141000	6477000	6117000	6117000	6597000	5397000	
522	6162000	6594000	6114000	6114000	6594000	5394000	
523	6159000	6591000	6111000	6111000	6591000	5391000	
524	6204000	6708000	6228000	6108000	6588000	5388000	
525	6225000	6705000	6225000	6105000	6585000	5505000	
526	6222000	6702000	6222000	6102000	6582000	5502000	
527	6243000	6699000	6219000	6219000	6579000	5499000	
528	6288000	6816000	6336000	6216000	6576000	5496000	
529	6285000	6813000	6333000	6213000	6573000	5493000	
